button_press_id,MP_Mannual review of button press footage,RiderId,TripNumber,EventType,clipfile,VideoFile,FrameMinutes,MilliSeconds,PassDistance,ButtonPress,VehicleType,Location,BikeLane,ParkedCar,Review,timestamp,latitude,longitude
1,correct,1,1,Pass,ButtonPressEvent_Duration10s_000001.mp4,Trip_1.2_GP020006.LRV,00:11:23,2796433,69.0,Yes,Truck,MidBlock,No,Yes,,,,
2,correct,5,3,Pass,ButtonPressEvent_Duration10s_000002.mp4,Trip_3.0_GOPR0023.LRV,00:16:05.760000,950632,51.5,Yes,Bus,MidBlock,Yes,No,,2017-04-23T23:28:52Z,-37.810144,144.969344
3,Correct,7,1,Pass,ButtonPressEvent_Duration10s_000003.mp4,Trip_1.0_GOPR0011.LRV,00:01:22.751000,74491,66.0,Yes,Sedan,MidBlock,Yes,Yes,,2017-04-26T07:44:54Z,-37.84851,144.980248
4,Correct,7,1,Pass,ButtonPressEvent_Duration10s_000004.mp4,Trip_1.0_GOPR0011.LRV,00:03:34.939000,206591,71.0,Yes,Sedan,MidBlock,No,No,,2017-04-26T07:47:07Z,-37.850776,144.985172
5,Correct,7,8,Pass,ButtonPressEvent_Duration10s_000005.mp4,Trip_8.3_GP030020.LRV,00:05:24.857000,3499711,75.0,Yes,Sedan,MidBlock,No,No,,2017-04-30T23:40:54Z,-37.81426,144.97148
6,Correct,7,1,Pass,ButtonPressEvent_Duration10s_000006.mp4,Trip_1.0_GOPR0011.LRV,00:07:58.414000,469891,76.0,Yes,Sedan,MidBlock,No,No,,2017-04-26T07:51:30Z,-37.853366,145.004554
7,Correct,7,2,Pass,ButtonPressEvent_Duration10s_000007.mp4,Trip_2.1_GP010013.LRV,00:05:13.822000,1365302,89.0,Yes,Other,MidBlock,No,No,,2017-04-26T23:09:27Z,-37.872653,145.100021
8,Correct,7,9,Pass,ButtonPressEvent_Duration10s_000008.mp4,Trip_9.3_GP030021.LRV,00:00:07.288000,3183123,100.0,Yes,Sedan,MidBlock,No,No,,,,
9,Correct,7,9,Pass,ButtonPressEvent_Duration10s_000009.mp4,Trip_9.3_GP030021.LRV,00:00:23.599000,3199423,100.0,Yes,Sedan,Intersection Related,No,No,,,,
10,correct,7,5,Pass,ButtonPressEvent_Duration10s_000010.mp4,Trip_5.0_GOPR0016.LRV,00:01:06.100000,59121,114.0,Yes,Sedan,MidBlock,No,No,,2017-04-27T09:38:23Z,-37.876642,145.149978
11,Correct,9,9,Pass,ButtonPressEvent_Duration10s_000011.mp4,Trip_9.3_GP030111.LRV,00:02:32.753000,3328931,32.5,Yes,Sedan,Intersection Related,No,No,,2017-05-11T22:26:11Z,-37.84478,144.978875
12,Correct,9,4,Pass,ButtonPressEvent_Duration10s_000012.mp4,Trip_4.2_GP020105.LRV,00:04:56.429000,2415286,58.5,Yes,Sedan,MidBlock,No,No,,2017-05-08T08:50:39Z,-37.80748,144.903107
13,Correct,9,5,Pass,ButtonPressEvent_Duration10s_000013.mp4,Trip_5.0_GOPR0106.LRV,00:14:31.877000,865430,83.5,Yes,4WD,MidBlock,No,No,,2017-05-08T22:20:37Z,-37.814442,144.89773
14,Correct,9,9,Pass,ButtonPressEvent_Duration10s_000014.mp4,Trip_9.0_GOPR0111.LRV,00:16:01.126000,952221,119.5,Yes,4WD,MidBlock,Yes,No,,2017-05-11T21:46:33Z,-37.808696,144.902563
15,Correct,9,5,Pass,ButtonPressEvent_Duration10s_000015.mp4,Trip_5.1_GP010106.LRV,00:02:12.593000,1188331,121.5,Yes,Sedan,MidBlock,No,No,,2017-05-08T22:25:59Z,-37.804552,144.904442
16,Correct,9,9,Pass,ButtonPressEvent_Duration10s_000016.mp4,Trip_9.0_GOPR0111.LRV,00:16:08.431000,959521,136.5,Yes,4WD,MidBlock,No,Yes,,2017-05-11T21:46:41Z,-37.808163,144.902804
17,Correct,10,1,Pass,ButtonPressEvent_Duration10s_000017.mp4,Trip_1.0_GOPR0034.LRV,00:07:57.940000,469841,71.0,Yes,Taxi,MidBlock,No,Yes,,2017-05-05T03:11:52Z,-37.835416,144.974892
18,correct,11,7,Pass,ButtonPressEvent_Duration10s_000018.mp4,Trip_7.1_GP012422.LRV,00:08:30.191000,1258146,81.0,Yes,Sedan,MidBlock,No,Yes,,2017-05-16T22:44:17Z,-37.741482,144.902673
19,correct,11,7,Pass,ButtonPressEvent_Duration10s_000019.mp4,Trip_7.1_GP012422.LRV,00:17:36.655000,1804246,87.0,Yes,Other,MidBlock,No,No,,2017-05-16T22:53:24Z,-37.718313,144.891924
20,correct,11,8,Pass,ButtonPressEvent_Duration10s_000020.mp4,Trip_8.1_GP012423.LRV,00:10:08.130000,1655943,89.0,Yes,4WD,MidBlock,No,No,,2017-05-17T07:52:55Z,-37.758197,144.941059
21,correct,11,7,Pass,ButtonPressEvent_Duration10s_000021.mp4,Trip_7.1_GP012422.LRV,00:16:49.623000,1757246,91.0,Yes,Sedan,MidBlock,No,No,,2017-05-16T22:52:37Z,-37.721512,144.891413
22,correct,11,7,Pass,ButtonPressEvent_Duration10s_000022.mp4,Trip_7.1_GP012422.LRV,00:17:08.536000,1776146,91.0,Yes,Other,MidBlock,No,No,,2017-05-16T22:52:56Z,-37.72027,144.891614
23,correct,11,8,Pass,ButtonPressEvent_Duration10s_000023.mp4,Trip_8.0_GOPR2423.LRV,00:09:03.187000,529724,94.0,Yes,Sedan,Intersection Related,No,No,,2017-05-17T07:34:08Z,-37.714728,144.897303
24,correct,11,7,Pass,ButtonPressEvent_Duration10s_000024.mp4,Trip_7.2_GP022422.LRV,00:03:00.951000,1990546,101.0,Yes,4WD,MidBlock,No,No,,2017-05-16T22:56:30Z,-37.710881,144.888442
25,correct,11,4,Pass,ButtonPressEvent_Duration10s_000025.mp4,Trip_4.1_GP012419.LRV,00:12:03.183000,1656533,108.0,Yes,Sedan,MidBlock,No,No,,2017-05-15T22:12:44Z,-37.725692,144.89066
26,correct,11,4,Pass,ButtonPressEvent_Duration10s_000026.mp4,Trip_4.1_GP012419.LRV,00:13:58.980000,1772252,111.0,Yes,Sedan,MidBlock,No,No,,2017-05-15T22:14:39Z,-37.718246,144.891935
27,correct,11,4,Pass,ButtonPressEvent_Duration10s_000027.mp4,Trip_4.0_GOPR2419.LRV,00:17:29.536000,921232,113.0,Yes,4WD,MidBlock,No,No,,2017-05-15T22:00:28Z,-37.754894,144.917238
28,correct,11,8,Pass,ButtonPressEvent_Duration10s_000028.mp4,Trip_8.1_GP012423.LRV,00:07:44.617000,1512643,113.0,Yes,Sedan,MidBlock,Yes,Yes,,2017-05-17T07:50:32Z,-37.756275,144.928214
29,correct,11,6,Pass,ButtonPressEvent_Duration10s_000029.mp4,Trip_6.0_GOPR2421.LRV,00:14:37.289000,850632,116.0,Yes,Sedan,MidBlock,Yes,Yes,,2017-05-16T09:02:50Z,-37.749031,144.913569
30,correct,11,4,Pass,ButtonPressEvent_Duration10s_000030.mp4,Trip_4.1_GP012419.LRV,00:13:03.743000,1717052,121.0,Yes,Truck,MidBlock,No,No,,2017-05-15T22:13:44Z,-37.721941,144.891345
31,correct,11,8,Pass,ButtonPressEvent_Duration10s_000031.mp4,Trip_8.1_GP012423.LRV,00:09:03.570000,1591543,122.0,Yes,Sedan,MidBlock,No,Yes,,2017-05-17T07:51:51Z,-37.757615,144.936209
32,correct,11,9,Pass,ButtonPressEvent_Duration10s_000032.mp4,Trip_9.2_GP022424.LRV,00:03:48.541000,2325233,123.0,Yes,Truck,MidBlock,No,No,,2017-05-17T22:31:10Z,-37.701617,144.881761
33,correct,11,4,Pass,ButtonPressEvent_Duration10s_000033.mp4,Trip_4.1_GP012419.LRV,00:13:45.971000,1759252,127.0,Yes,Sedan,MidBlock,No,No,,2017-05-15T22:14:27Z,-37.719033,144.891808
34,correct,11,3,Pass,ButtonPressEvent_Duration10s_000034.mp4,Trip_3.1_GP012418.LRV,00:08:50,1523752,128.0,Yes,Sedan,MidBlock,No,No,,2017-05-15T07:37:07Z,-37.757566,144.935799
35,correct,11,8,Pass,ButtonPressEvent_Duration10s_000035.mp4,Trip_8.1_GP012423.LRV,00:08:27.446000,1555443,143.0,Yes,Sedan,MidBlock,Yes,No,,2017-05-17T07:51:14Z,-37.756944,144.93294
36,correct,11,7,Pass,ButtonPressEvent_Duration10s_000036.mp4,Trip_7.1_GP012422.LRV,00:11:17.302000,1425146,166.0,Yes,Other,MidBlock,Yes,Yes,,2017-05-16T22:47:05Z,-37.736817,144.891076
37,correct,11,7,Pass,ButtonPressEvent_Duration10s_000037.mp4,Trip_7.2_GP022422.LRV,00:04:21.405000,2070946,169.0,Yes,Sedan,Intersection Related,No,No,,2017-05-16T22:57:51Z,-37.707395,144.885821
38,Correct,14,1,Pass,ButtonPressEvent_Duration10s_000038.mp4,Trip_1.1_GP010013.LRV,00:15:47.611000,1992633,92.5,Yes,4WD,MidBlock,Yes,No,,2017-05-31T05:20:48Z,-37.805649,144.896792
39,Correct,15,2,Pass,ButtonPressEvent_Duration10s_000039.mp4,Trip_2.3_GP032467.LRV,00:06:40.947000,3572552,84.5,Yes,4WD,MidBlock,Yes,Yes,,2017-06-07T07:02:37Z,-37.801284,144.89275
40,Correct,15,1,Pass,ButtonPressEvent_Duration10s_000040.mp4,Trip_1.2_GP022433.LRV,00:02:27.124000,2246533,108.5,Yes,4WD,MidBlock,Yes,Yes,,2017-06-06T07:57:59Z,-37.855611,144.86664
41,Correct,16,1,Pass,ButtonPressEvent_Duration10s_000041.mp4,Trip_1.1_GP010025.LRV,00:15:30.186000,1965616,73.0,Yes,Other,MidBlock,Yes,No,,2017-06-05T05:28:19Z,-37.927204,144.988298
42,Correct,16,2,Pass,ButtonPressEvent_Duration10s_000042.mp4,Trip_2.1_GP014696.LRV,00:05:12.170000,1357915,83.0,Yes,Sedan,Intersection Related,No,No,,2017-06-07T06:28:40Z,-37.899542,145.006359
43,Correct,16,1,Pass,ButtonPressEvent_Duration10s_000043.mp4,Trip_1.1_GP010025.LRV,00:06:02.176000,1397984,95.0,Yes,4WD,MidBlock,No,No,,2017-06-05T05:18:51Z,-37.89093,144.990304
44,Correct,16,1,Pass,ButtonPressEvent_Duration10s_000044.mp4,Trip_1.1_GP010025.LRV,00:08:42.483000,1558184,96.0,Yes,4WD,MidBlock,No,No,,2017-06-05T05:21:32Z,-37.900891,144.988977
45,Correct,16,2,Pass,ButtonPressEvent_Duration10s_000045.mp4,Trip_2.1_GP014696.LRV,00:15:44.910000,1989415,96.0,Yes,Other,MidBlock,No,No,,2017-06-07T06:39:12Z,-37.929417,145.031085
46,Correct,19,1,Pass,ButtonPressEvent_Duration10s_000046.mp4,Trip_1.1_GP012471.LRV,00:16:52.523000,2056832,53.0,Yes,Sedan,Intersection Related,No,No,,2017-06-09T07:42:56Z,-37.797655,144.970384
47,Correct,20,2,Pass,ButtonPressEvent_Duration10s_000047.mp4,Trip_2.1_GP010027.LRV,00:06:23.765000,1430431,45.0,Yes,Truck,MidBlock,Yes,No,,2017-06-14T21:34:42Z,-37.776932,144.929359
48,Correct,20,4,Pass,ButtonPressEvent_Duration10s_000048.mp4,Trip_4.1_GP010030.LRV,00:02:00.214000,1159551,55.0,Yes,Sedan,MidBlock,No,No,,2017-06-18T21:26:58Z,-37.764131,144.923515
49,Correct,20,4,Pass,ButtonPressEvent_Duration10s_000049.mp4,Trip_4.0_GOPR0030.LRV,00:16:34.189000,971251,83.0,Yes,4WD,MidBlock,No,No,,2017-06-18T21:23:49Z,-37.756839,144.915758
50,Correct,21,4,Pass,ButtonPressEvent_Duration10s_000050.mp4,Trip_4.2_GP024706.LRV,00:11:02.100000,2773088,69.0,Yes,Sedan,MidBlock,No,Yes,,2017-06-18T21:59:26Z,-37.869238,145.022437
51,Correct,21,3,Pass,ButtonPressEvent_Duration10s_000051.mp4,Trip_3.0_GOPR4704.LRV,00:11:07.417000,650483,77.0,Yes,Sedan,MidBlock,No,No,,2017-06-16T23:58:49Z,-37.877338,145.303269
52,Correct,21,4,Pass,ButtonPressEvent_Duration10s_000052.mp4,Trip_4.3_GP034706.LRV,00:03:33.119000,3386189,103.0,Yes,Sedan,Intersection Related,No,No,,2017-06-18T22:09:39Z,-37.860603,144.98421
53,Correct,21,5,Pass,ButtonPressEvent_Duration10s_000053.mp4,Trip_5.1_GP014707.LRV,00:14:12.363000,1903984,105.0,Yes,Sedan,MidBlock,No,No,,2017-06-19T08:09:51Z,-37.858207,144.980573
54,Correct,21,3,Pass,ButtonPressEvent_Duration10s_000054.mp4,Trip_3.1_GP014704.LRV,00:00:58.180000,1103183,122.0,Yes,Sedan,MidBlock,No,No,,2017-06-17T00:06:23Z,-37.878627,145.317077
55,Correct,21,3,Button,ButtonPressEvent_Duration10s_000055.mp4,Trip_3.2_GP024704.LRV,00:02:00.732000,2227014,123.0,Yes,Sedan,MidBlock,No,No,,2017-06-17T00:25:07Z,-37.873939,145.31614
56,Correct,22,3,Pass,ButtonPressEvent_Duration10s_000056.mp4,Trip_3.1_GP010012.LRV,00:03:45.689000,1274673,54.0,Yes,Taxi,MidBlock,Yes,No,,2017-06-20T08:33:49Z,-37.773733,144.927422
57,Correct,22,6,Pass,ButtonPressEvent_Duration10s_000057.mp4,Trip_6.0_GOPR0015.LRV,00:07:04.400000,408182,67.0,Yes,Taxi,Roundabout,No,No,,2017-06-21T21:23:57Z,-37.75723,144.919298
58,Correct,22,4,Button,ButtonPressEvent_Duration10s_000058.mp4,Trip_4.1_GP010013.LRV,00:04:01.277000,1282246,86.0,Yes,Sedan,MidBlock,Yes,Yes,,2017-06-20T21:29:47Z,-37.795115,144.949795
59,Correct,22,7,Pass,ButtonPressEvent_Duration10s_000059.mp4,Trip_7.1_.LRV,00:00:53.248000,1097440,97.0,Yes,Sedan,MidBlock,Yes,No,,2017-06-22T07:38:12Z,-37.785204,144.938324
60,Correct,23,4,Pass,ButtonPressEvent_Duration10s_000060.mp4,Trip_4.0_GOPR0005.LRV,00:08:51.380000,518412,53.5,Yes,4WD,MidBlock,No,No,,2017-06-26T22:28:40Z,-37.78083,145.03078
61,Correct,23,2,Pass,ButtonPressEvent_Duration10s_000061.mp4,Trip_2.0_GOPR0003.LRV,00:08:24.673000,498031,87.5,Yes,4WD,Intersection Related,No,No,,2017-06-19T22:34:23Z,-37.780498,145.032538
62,Correct,23,2,Pass,ButtonPressEvent_Duration10s_000062.mp4,Trip_2.1_GP010003.LRV,00:05:04.410000,1358969,146.5,Yes,Sedan,MidBlock,Yes,Yes,,2017-06-19T22:48:45Z,-37.802039,144.986867
63,Correct,24,1,Pass,ButtonPressEvent_Duration10s_000063.mp4,Trip_1.1_GP010015.LRV,00:15:44.416000,2006422,93.5,Yes,4WD,MidBlock,No,No,,2017-06-20T07:35:10Z,-37.902146,144.988739
64,Correct,24,1,Pass,ButtonPressEvent_Duration10s_000064.mp4,Trip_1.2_GP020015.LRV,00:08:36.410000,2640122,102.5,Yes,Sedan,MidBlock,No,No,,2017-06-20T07:45:44Z,-37.943916,145.001228
65,Correct,24,1,Pass,ButtonPressEvent_Duration10s_000065.mp4,Trip_1.2_GP020015.LRV,00:04:37.751000,2401622,106.5,Yes,4WD,MidBlock,No,No,,2017-06-20T07:41:46Z,-37.931097,144.992368
66,Correct,24,1,Pass,ButtonPressEvent_Duration10s_000066.mp4,Trip_1.2_GP020015.LRV,00:03:40.313000,2344222,107.5,Yes,4WD,Intersection Related,No,No,,2017-06-20T07:40:48Z,-37.927547,144.988838
67,Correct,24,1,Pass,ButtonPressEvent_Duration10s_000067.mp4,Trip_1.2_GP020015.LRV,00:09:14.836000,2678522,108.5,Yes,Bus,MidBlock,No,No,,2017-06-20T07:46:23Z,-37.946889,145.000782
68,Correct,24,1,Pass,ButtonPressEvent_Duration10s_000068.mp4,Trip_1.1_GP010015.LRV,00:15:12.671000,1974699,109.5,Yes,Other,MidBlock,No,No,,2017-06-20T07:34:39Z,-37.899818,144.989175
69,Correct,24,1,Pass,ButtonPressEvent_Duration10s_000069.mp4,Trip_1.1_GP010015.LRV,00:12:54.965000,1837084,114.5,Yes,Sedan,MidBlock,No,No,,2017-06-20T07:32:21Z,-37.892862,144.990464
70,Correct,24,1,Pass,ButtonPressEvent_Duration10s_000070.mp4,Trip_1.2_GP020015.LRV,00:04:43.355000,2407222,126.5,Yes,Sedan,MidBlock,No,No,,2017-06-20T07:41:51Z,-37.931404,144.99267
71,Correct,24,1,Pass,ButtonPressEvent_Duration10s_000071.mp4,Trip_1.1_GP010015.LRV,00:12:41.819000,1823947,146.5,Yes,4WD,MidBlock,No,No,,2017-06-20T07:32:08Z,-37.891856,144.990655
72,Correct,25,1,Pass,ButtonPressEvent_Duration10s_000072.mp4,Trip_1.1_GP010002.LRV,00:09:22.639000,1609830,83.5,Yes,Sedan,Intersection Related,No,No,,2017-06-20T08:37:47Z,-37.897613,144.989573
73,Correct,26,6,Pass,ButtonPressEvent_Duration10s_000073.mp4,Trip_6.0_GOPR0012.LRV,00:07:59.774000,472019,58.5,Yes,Other,MidBlock,No,No,,2017-06-28T20:58:43Z,-37.828063,145.115755
74,Correct,26,2,Pass,ButtonPressEvent_Duration10s_000074.mp4,Trip_2.0_GOPR0006.LRV,00:07:30.451000,442986,73.5,Yes,Other,MidBlock,No,No,,2017-06-21T20:56:59Z,-37.82831,145.117447
75,Correct,26,2,Pass,ButtonPressEvent_Duration10s_000075.mp4,Trip_2.0_GOPR0006.LRV,00:07:17.343000,429886,75.5,Yes,Other,Intersection Related,No,No,,2017-06-21T20:56:46Z,-37.828357,145.118249
76,Correct,26,6,Pass,ButtonPressEvent_Duration10s_000076.mp4,Trip_6.0_GOPR0012.LRV,00:10:02.867000,595030,77.5,Yes,Sedan,MidBlock,No,No,,2017-06-28T21:00:46Z,-37.827462,145.110679
77,Correct,26,6,Pass,ButtonPressEvent_Duration10s_000077.mp4,Trip_6.1_GP010012.LRV,00:00:45.172000,1099143,79.5,Yes,Sedan,MidBlock,No,No,,2017-06-28T21:09:10Z,-37.822031,145.067442
78,Correct,26,4,Pass,ButtonPressEvent_Duration10s_000078.mp4,Trip_4.0_GOPR0008.LRV,00:17:13.449000,1022088,85.5,Yes,Sedan,MidBlock,No,No,,2017-06-26T22:26:53Z,-37.824249,145.083079
79,Correct,26,4,Pass,ButtonPressEvent_Duration10s_000079.mp4,Trip_4.0_GOPR0008.LRV,00:16:53.405000,1002057,86.5,Yes,Sedan,MidBlock,No,No,,,,
80,Correct,26,2,Pass,ButtonPressEvent_Duration10s_000080.mp4,Trip_2.0_GOPR0006.LRV,00:07:13.740000,426286,95.5,Yes,Sedan,MidBlock,No,No,,2017-06-21T20:56:43Z,-37.828377,145.118426
81,Correct,26,6,Pass,ButtonPressEvent_Duration10s_000081.mp4,Trip_6.0_GOPR0012.LRV,00:06:25.611000,377919,98.5,Yes,Sedan,MidBlock,No,No,,2017-06-28T20:57:09Z,-37.828717,145.1216
82,Correct,26,2,Pass,ButtonPressEvent_Duration10s_000082.mp4,Trip_2.1_GP010006.LRV,00:16:25.121000,2038736,106.5,Yes,Taxi,MidBlock,No,No,,2017-06-21T21:23:36Z,-37.816803,144.987662
83,Correct,26,4,Pass,ButtonPressEvent_Duration10s_000083.mp4,Trip_4.1_GP010008.LRV,00:07:28.887000,1499351,110.5,Yes,4WD,MidBlock,No,No,,2017-06-26T22:34:36Z,-37.820165,145.048539
84,Correct,26,4,Pass,ButtonPressEvent_Duration10s_000084.mp4,Trip_4.0_GOPR0008.LRV,00:05:19.527000,308641,113.5,Yes,Truck,MidBlock,No,No,,2017-06-26T22:14:45Z,-37.830147,145.133639
85,Correct,26,2,Pass,ButtonPressEvent_Duration10s_000085.mp4,Trip_2.0_GOPR0006.LRV,00:03:48.937000,221619,114.5,Yes,Sedan,MidBlock,No,No,,2017-06-21T20:53:18Z,-37.829987,145.132623
86,Correct,26,3,Pass,ButtonPressEvent_Duration10s_000086.mp4,Trip_3.0_GOPR0007.LRV,00:06:10.626000,363314,126.5,Yes,Sedan,MidBlock,No,Yes,,2017-06-22T05:33:32Z,-37.815287,144.975765
87,Correct,31,7,Pass,ButtonPressEvent_Duration10s_000087.mp4,Trip_7.1_GP010049.LRV,00:00:56.568000,1106550,55.0,Yes,Sedan,MidBlock,No,No,,2017-06-29T22:19:36Z,-37.816081,145.048493
88,Correct,31,1,Pass,ButtonPressEvent_Duration10s_000088.mp4,Trip_1.0_GOPR0042.LRV,00:04:12.972000,244639,60.0,Yes,Sedan,MidBlock,No,No,,2017-06-26T08:20:52Z,-37.815339,145.042282
89,Correct,31,3,Button,ButtonPressEvent_Duration10s_000089.mp4,Trip_3.0_GOPR0045.LRV,00:14:21.659000,853150,88.0,Yes,Sedan,MidBlock,No,No,,2017-06-27T07:48:48Z,-37.819858,145.093203
90,Correct,33,6,Pass,ButtonPressEvent_Duration10s_000090.mp4,Trip_6.0_GOPR0013.LRV,00:13:19.489000,786415,79.0,Yes,4WD,MidBlock,No,No,,2017-07-04T22:00:02Z,-37.885479,144.998172
91,Correct,34,5,Pass,ButtonPressEvent_Duration10s_000091.mp4,Trip_5.0_GOPR3968.LRV,00:17:04.375000,1015928,140.0,Yes,Sedan,MidBlock,No,No,,2017-07-05T20:55:40Z,-37.777966,145.036798
92,Correct,38,7,Pass,ButtonPressEvent_Duration10s_000092.mp4,Trip_7.0_GOPR2128.LRV,00:10:48.557000,640720,73.5,Yes,4WD,MidBlock,No,No,,2017-07-07T06:11:01Z,-37.793242,145.161197
93,Correct,38,7,Pass,ButtonPressEvent_Duration10s_000093.mp4,Trip_7.0_GOPR2128.LRV,00:14:34.700000,866020,78.5,Yes,4WD,MidBlock,No,No,,2017-07-07T06:14:46Z,-37.782836,145.163058
94,Correct,38,1,Pass,ButtonPressEvent_Duration10s_000094.mp4,Trip_1.1_GP012121.LRV,00:08:39.664000,1573175,100.5,Yes,Sedan,MidBlock,No,No,,2017-07-04T06:51:35Z,-37.753469,145.14294
95,Correct,38,8,Pass,ButtonPressEvent_Duration10s_000095.mp4,Trip_8.1_GP012129.LRV,00:03:37.334000,1267879,100.5,Yes,4WD,MidBlock,Yes,No,,2017-07-09T20:52:42Z,-37.752811,145.136965
96,Correct,38,1,Pass,ButtonPressEvent_Duration10s_000096.mp4,Trip_1.0_GOPR2121.LRV,00:13:09.634000,781273,118.5,Yes,Sedan,MidBlock,No,No,,2017-07-04T06:38:23Z,-37.788712,145.161965
97,Correct,38,6,Pass,ButtonPressEvent_Duration10s_000097.mp4,Trip_6.1_GP012127.LRV,00:04:13.342000,1307131,137.5,Yes,Other,MidBlock,Yes,No,,2017-07-06T20:53:17Z,-37.753459,145.142842
98,Correct,41,2,Pass,ButtonPressEvent_Duration10s_000098.mp4,Trip_2.1_GP010041.LRV,00:08:23.900000,1552738,66.5,Yes,4WD,Intersection Related,No,No,,2017-07-11T22:13:06Z,-37.818945,144.954314
99,Correct,41,2,Pass,ButtonPressEvent_Duration10s_000099.mp4,Trip_2.0_GOPR0041.LRV,00:03:16.122000,184619,91.5,Yes,Sedan,MidBlock,No,No,,,,
100,Correct,42,1,Pass,ButtonPressEvent_Duration10s_000100.mp4,Trip_1.2_GP020019.LRV,00:15:17.650000,3031631,68.0,Yes,Sedan,MidBlock,No,No,,2017-07-10T08:17:43Z,-37.79308,145.063995
101,Correct,42,2,Pass,ButtonPressEvent_Duration10s_000101.mp4,Trip_2.1_GP010020.LRV,00:13:05.452000,1836831,75.0,Yes,Sedan,MidBlock,No,No,,2017-07-10T22:57:40Z,-37.806349,145.061458
102,Correct,42,1,Pass,ButtonPressEvent_Duration10s_000102.mp4,Trip_1.2_GP020019.LRV,00:15:21.953000,3035931,84.0,Yes,Sedan,MidBlock,No,No,,2017-07-10T08:17:48Z,-37.79277,145.06405
103,Correct,44,9,Button,ButtonPressEvent_Duration10s_000103.mp4,Trip_9.1_GP013978.LRV,00:02:01.248000,1173530,75.0,Yes,4WD,MidBlock,No,No,,2017-07-19T23:06:32Z,-37.799394,144.936445
104,Correct,44,9,Pass,ButtonPressEvent_Duration10s_000104.mp4,Trip_9.1_GP013978.LRV,00:05:51.402000,1403530,92.0,Yes,Sedan,MidBlock,Yes,Yes,,2017-07-19T23:10:22Z,-37.800857,144.948923
105,Correct,44,2,Pass,ButtonPressEvent_Duration10s_000105.mp4,Trip_2.0_GOPR3971.LRV,00:17:40.771000,1053729,105.0,Yes,4WD,Intersection Related,No,No,,2017-07-11T23:07:37Z,-37.799383,144.936437
106,Correct,44,2,Pass,ButtonPressEvent_Duration10s_000106.mp4,Trip_2.1_GP013971.LRV,00:00:02.230000,1057329,150.0,Yes,4WD,MidBlock,No,No,,2017-07-11T23:07:42Z,-37.799475,144.936811
107,Correct,44,7,Pass,ButtonPressEvent_Duration10s_000107.mp4,Trip_7.0_GOPR3976.LRV,00:11:22.990000,677129,168.0,Yes,Sedan,MidBlock,No,No,,2017-07-17T22:46:09Z,-37.800822,144.908351
108,Correct,44,2,Pass,ButtonPressEvent_Duration10s_000108.mp4,Trip_2.1_GP013971.LRV,00:01:36.293000,1151329,208.0,Yes,Other,Intersection Related,No,No,,2017-07-11T23:09:15Z,-37.800133,144.943676
109,Correct,44,9,Pass,ButtonPressEvent_Duration10s_000109.mp4,Trip_9.1_GP013978.LRV,00:04:14.537000,1306730,255.0,Yes,Other,Intersection Related,No,No,,2017-07-19T23:08:45Z,-37.800243,144.944017
110,Correct,47,3,Pass,ButtonPressEvent_Duration10s_000110.mp4,Trip_3.1_GP014726.LRV,00:08:42.873000,1576482,45.5,Yes,4WD,MidBlock,No,No,,2017-07-23T22:31:00Z,-37.952164,145.003838
111,Correct,47,3,Pass,ButtonPressEvent_Duration10s_000111.mp4,Trip_3.1_GP014726.LRV,00:13:51.830000,1884487,86.5,Yes,4WD,MidBlock,No,No,,2017-07-23T22:36:09Z,-37.930116,144.991426
